keyword|datatype|description|unit
ERVY00|float|Error in RV for SKY order 00|km/s
ERVY01|float|Error in RV for SKY order 01|km/s
ERVY02|float|Error in RV for SKY order 02|km/s
ERVY03|float|Error in RV for SKY order 03|km/s
ERVY04|float|Error in RV for SKY order 04|km/s
ERVY05|float|Error in RV for SKY order 05|km/s
ERVY06|float|Error in RV for SKY order 06|km/s
ERVY07|float|Error in RV for SKY order 07|km/s
ERVY08|float|Error in RV for SKY order 08|km/s
ERVY09|float|Error in RV for SKY order 09|km/s
ERVY10|float|Error in RV for SKY order 10|km/s
ERVY11|float|Error in RV for SKY order 11|km/s
ERVY12|float|Error in RV for SKY order 12|km/s
ERVY13|float|Error in RV for SKY order 13|km/s
ERVY14|float|Error in RV for SKY order 14|km/s
ERVY15|float|Error in RV for SKY order 15|km/s
ERVY16|float|Error in RV for SKY order 16|km/s
ERVY17|float|Error in RV for SKY order 17|km/s
ERVY18|float|Error in RV for SKY order 18|km/s
ERVY19|float|Error in RV for SKY order 19|km/s
ERVY20|float|Error in RV for SKY order 20|km/s
ERVY21|float|Error in RV for SKY order 21|km/s
ERVY22|float|Error in RV for SKY order 22|km/s
ERVY23|float|Error in RV for SKY order 23|km/s
ERVY24|float|Error in RV for SKY order 24|km/s
ERVY25|float|Error in RV for SKY order 25|km/s
ERVY26|float|Error in RV for SKY order 26|km/s
ERVY27|float|Error in RV for SKY order 27|km/s
ERVY28|float|Error in RV for SKY order 28|km/s
ERVY29|float|Error in RV for SKY order 29|km/s
ERVY30|float|Error in RV for SKY order 30|km/s
ERVY31|float|Error in RV for SKY order 31|km/s
ERVY32|float|Error in RV for SKY order 32|km/s
ERVY33|float|Error in RV for SKY order 33|km/s
ERVY34|float|Error in RV for SKY order 34|km/s
ERVY35|float|Error in RV for SKY order 35|km/s
ERVY36|float|Error in RV for SKY order 36|km/s
ERVY37|float|Error in RV for SKY order 37|km/s
ERVY38|float|Error in RV for SKY order 38|km/s
ERVY39|float|Error in RV for SKY order 39|km/s
ERVY40|float|Error in RV for SKY order 40|km/s
ERVY41|float|Error in RV for SKY order 41|km/s
ERVY42|float|Error in RV for SKY order 42|km/s
ERVY43|float|Error in RV for SKY order 43|km/s
ERVY44|float|Error in RV for SKY order 44|km/s
ERVY45|float|Error in RV for SKY order 45|km/s
ERVY46|float|Error in RV for SKY order 46|km/s
ERVY47|float|Error in RV for SKY order 47|km/s
ERVY48|float|Error in RV for SKY order 48|km/s
ERVY49|float|Error in RV for SKY order 49|km/s
ERVY50|float|Error in RV for SKY order 50|km/s
ERVY51|float|Error in RV for SKY order 51|km/s
ERVY52|float|Error in RV for SKY order 52|km/s
ERVY53|float|Error in RV for SKY order 53|km/s
ERVY54|float|Error in RV for SKY order 54|km/s
ERVY55|float|Error in RV for SKY order 55|km/s
ERVY56|float|Error in RV for SKY order 56|km/s
ERVY57|float|Error in RV for SKY order 57|km/s
ERVY58|float|Error in RV for SKY order 58|km/s
ERVY59|float|Error in RV for SKY order 59|km/s
ERVY60|float|Error in RV for SKY order 60|km/s
ERVY61|float|Error in RV for SKY order 61|km/s
ERVY62|float|Error in RV for SKY order 62|km/s
ERVY63|float|Error in RV for SKY order 63|km/s
ERVY64|float|Error in RV for SKY order 64|km/s
ERVY65|float|Error in RV for SKY order 65|km/s
ERVY66|float|Error in RV for SKY order 66|km/s
